run,task_id,trajectory,messages,steps,total_tokens,prompt_tokens,assistant_tokens,reasoning_tokens,tool_call_tokens,avg_message_tokens,avg_assistant_tokens,p50_message_tokens,p90_message_tokens,p95_message_tokens,max_message_tokens,exit_status,episode_status,outcome_status
traj_001,0ctf2017__babyheap-ef570c4099,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2017__babyheap-ef570c4099/trajectory.jsonl,198,98,60405,27396,33009,29767,3240,305.08,336.83,209,508,794,7804,task_timeout,timeout,unsolved
traj_001,0ctf2017__diethard-42aa242adb,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2017__diethard-42aa242adb/trajectory.jsonl,152,75,118673,42954,75719,73340,2377,780.74,1009.59,144,1652,4456,7362,task_timeout,timeout,unsolved
traj_001,0ctf2017__easiestprintf-4f87eb0f0f,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2017__easiestprintf-4f87eb0f0f/trajectory.jsonl,96,47,80511,20036,60475,58254,2219,838.66,1286.7,188,2674,4822,6742,task_timeout,timeout,unsolved
traj_001,0ctf2018__babyheap2018-dd1280c09c,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__babyheap2018-dd1280c09c/trajectory.jsonl,76,37,37935,15623,22312,19164,3129,499.14,603.03,207,862,1685,8653,early_exit,early_exit,unsolved
traj_001,0ctf2018__blackhole-a700794e47,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__blackhole-a700794e47/trajectory.jsonl,24,11,17868,7685,10183,9878,303,744.5,925.73,101,2669,3066,5181,model_timeout,timeout,unsolved
traj_001,0ctf2018__freenote2018-14294ef976,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__freenote2018-14294ef976/trajectory.jsonl,120,59,53389,17737,35652,31324,4326,444.91,604.27,200,956,1595,7572,task_timeout,timeout,unsolved
traj_001,0ctf2018__heapstorm-0159a07ea6,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__heapstorm-0159a07ea6/trajectory.jsonl,70,34,57260,26778,30482,18895,11585,818.0,896.53,227,2394,3550,5065,runner_exception,early_exit,unsolved
traj_001,0ctf2018__subtraction-a0a3add0f4,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__subtraction-a0a3add0f4/trajectory.jsonl,82,40,48644,25958,22686,21373,1308,593.22,567.15,180,1828,2084,3614,exit_api,early_exit,unsolved
traj_001,0ctf2018__zerofs-a2e28d4faf,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__zerofs-a2e28d4faf/trajectory.jsonl,170,84,136821,75586,61235,58297,2936,804.83,728.99,160,1680,5010,9889,task_timeout,timeout,unsolved
traj_001,0ctf2019__babyaegis-1960f06dcf,/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2019__babyaegis-1960f06dcf/trajectory.jsonl,12,5,3645,3470,175,90,73,303.75,35.0,47,887,2004,2004,early_exit,early_exit,unsolved
